locker_id,user_id,user_type
0,0,D
1,1,D
2,3,D
3,4,D
4,5,D
5,6,D
6,7,D
7,10,D
8,11,D
9,13,D
10,14,D
11,15,D
12,16,D
13,17,D
14,19,D
15,21,D
16,22,D
17,23,D
18,25,D
19,27,D
20,28,D
21,29,D
22,30,D
23,31,D
24,32,D
25,33,D
26,34,D
27,35,D
28,36,D
29,37,D
30,38,D
31,39,D
32,40,D
33,41,D
34,42,D
35,45,D
36,46,D
37,47,D
38,49,D
39,50,D
40,51,D
41,52,D
42,53,D
43,54,D
44,55,D
45,56,D
46,57,D
47,58,D
48,59,D
49,60,D
50,62,D
51,63,D
52,64,D
53,65,D
54,66,D
55,70,D
56,71,D
57,72,D
58,74,D
59,76,D
60,77,D
61,78,D
62,80,D
63,81,D
64,82,D
65,83,D
66,85,D
67,86,D
68,88,D
69,89,D
70,90,D
71,91,D
72,92,D
73,93,D
74,94,D
75,95,D
76,100,D
77,101,D
78,102,D
79,103,D
80,104,D
81,105,D
82,106,D
83,107,D
84,109,D
85,110,D
86,111,D
87,112,D
88,114,D
89,115,D
90,118,D
91,119,D
92,120,D
93,122,D
94,124,D
95,125,D
96,126,D
97,127,D
98,128,D
99,130,D
100,131,D
101,132,D
102,135,D
103,136,D
104,138,D
105,139,D
106,140,D
107,141,D
108,142,D
109,144,D
110,145,D
111,146,D
112,147,D
113,148,D
114,149,D
115,150,D
116,151,D
117,153,D
118,154,D
119,155,D
120,156,D
121,158,D
122,159,D
123,160,D
124,161,D
125,162,D
126,164,D
127,165,D
128,166,D
129,167,D
130,168,D
131,169,D
132,171,D
133,172,D
134,173,D
135,174,D
136,175,D
137,176,D
138,177,D
139,178,D
140,180,D
141,181,D
142,182,D
143,183,D
144,184,D
145,185,D
146,186,D
147,187,D
148,188,D
149,189,D
150,190,D
151,191,D
152,192,D
153,193,D
154,195,D
155,196,D
156,197,D
157,198,D
158,200,D
159,201,D
160,203,D
161,204,D
162,205,D
163,208,D
164,209,D
165,210,D
166,212,D
167,213,D
168,214,D
169,215,D
170,216,D
171,218,D
172,219,D
173,220,D
174,221,D
175,224,D
176,225,D
177,228,D
178,229,D
179,231,D
180,232,D
181,234,D
182,235,D
183,238,D
184,240,D
185,242,D
186,243,D
187,244,D
188,245,D
189,246,D
190,247,D
191,248,D
192,253,D
193,254,D
194,255,D
195,256,D
196,257,D
197,259,D
198,260,D
199,261,D
200,262,D
201,263,D
202,264,D
203,265,D
204,266,D
205,268,D
206,269,D
207,270,D
208,272,D
209,273,D
210,275,D
211,276,D
212,277,D
213,278,D
214,280,D
215,282,D
216,284,D
217,285,D
218,286,D
219,287,D
220,288,D
221,289,D
222,290,D
223,292,D
224,293,D
225,294,D
226,296,D
227,297,D
228,298,D
229,299,D
230,300,D
231,301,D
232,302,D
233,305,D
234,306,D
235,307,D
236,308,D
237,309,D
238,310,D
239,311,D
240,313,D
241,315,D
242,316,D
243,317,D
244,319,D
245,321,D
246,322,D
247,323,D
248,324,D
249,325,D
250,326,D
251,328,D
252,329,D
253,330,D
254,331,D
255,332,D
256,333,D
257,334,D
258,336,D
259,337,D
260,338,D
261,339,D
262,341,D
263,342,D
264,343,D
265,345,D
266,347,D
267,348,D
268,349,D
269,350,D
270,351,D
271,352,D
272,353,D
273,354,D
274,356,D
275,357,D
276,358,D
277,362,D
278,364,D
279,365,D
280,366,D
281,367,D
282,368,D
283,369,D
284,371,D
285,372,D
286,373,D
287,375,D
288,376,D
289,377,D
290,380,D
291,381,D
292,382,D
293,383,D
294,384,D
295,385,D
296,386,D
297,389,D
298,390,D
299,391,D
300,392,D
301,393,D
302,394,D
303,395,D
304,396,D
305,397,D
306,398,D
307,400,D
308,402,D
309,403,D
310,404,D
311,406,D
312,407,D
313,410,D
314,412,D
315,413,D
316,414,D
317,415,D
318,416,D
319,417,D
320,418,D
321,419,D
322,420,D
323,421,D
324,423,D
325,424,D
326,425,D
327,426,D
328,429,D
329,430,D
330,431,D
331,432,D
332,433,D
333,434,D
334,436,D
335,437,D
336,439,D
337,440,D
338,441,D
339,442,D
340,443,D
341,444,D
342,445,D
343,446,D
344,447,D
345,448,D
346,449,D
347,450,D
348,451,D
349,453,D
350,454,D
351,455,D
352,456,D
353,457,D
354,459,D
355,461,D
356,462,D
357,463,D
358,465,D
359,466,D
360,467,D
361,468,D
362,469,D
363,470,D
364,472,D
365,473,D
366,474,D
367,475,D
368,478,D
369,479,D
370,480,D
371,482,D
372,483,D
373,484,D
374,485,D
375,487,D
376,488,D
377,489,D
378,491,D
379,492,D
380,495,D
381,496,D
382,497,D
383,498,D
384,499,D
385,500,D
386,501,D
387,503,D
388,504,D
389,506,D
390,507,D
391,508,D
392,509,D
393,510,D
394,511,D
395,513,D
